H	1	H1	H1	1	1
H	2	H2	H2	2	1
H	3	H3	H3	3	1
H	4	H4	H4	4	1
H	5	H5	H5	5	1
H	6	H6	H6	6	1
H	7	H7	H7	7	1
H	8	H8	H8	8	1
H	9	H9	H9	9	1
H	10	H10	H10	10	1
H	11	H11	H11	11	1
H	12	H12	H12	12	1
H	13	H13	H13	13	1
H	14	H14	H14	14	1
H	15	H15	H15	15	1
H	16	H16	H16	16	1
H	17	H17	H17	17	1
H	18	H18	H18	18	1
H	19	H19	H19	19	1
H	20	H20	H20	20	1
H	21	H21	H21	21	1
H	22	H22	H22	22	1
H	23	H23	H23	23	1
H	24	H24	H24	24	1
Kitchen	1	K1	K1	25	1
B		B1	B1	26	1
		B2	B2	27	1
		B4	B4	28	1
		B5	B5	29	1
		1	1	30	1
		2	2	31	1
		3	3	32	1
		4	4	33	1
		5	5	34	1
		6	6	35	1
		7	7	36	1
		8	8	37	1
		9	9	38	1
		10	10	39	1
		11	11	40	1
		12	12	41	1
		13	13	42	1
		14	14	43	1
		15	15	44	1
		16	16	45	1
		17	17	46	1
		18	18	47	1
		19	19	48	1
		20	20	49	1
		21	21	50	1
		22	22	51	1
		23	23	52	1
		24	24	53	1
		25	25	54	1
		26	26	55	1
		27	27	56	1
		28	28	57	1
		29	29	58	1
		30	30	59	1
		31	31	60	1
		32	32	61	1
		33	33	62	1
		34	34	63	1
		35	35	64	1
		36	36	65	1
		37	37	66	1
		38	38	67	1
		39	39	68	1
		40	40	69	1
		41	41	70	1
		42	42	71	1
		43	43	72	1
		44	44	73	1
		45	45	74	1
		46	46	75	1
		47	47	76	1
		48	48	77	1
		49	49	78	1
		50	50	79	1
		51	51	80	1
		52	52	81	1
		53	53	82	1
		54	54	83	1
		55	55	84	1
		56	56	85	1
		57	57	86	1
		58	58	87	1
		59	59	88	1
		60	60	89	1
		61	61	90	1
		62	62	91	1
		63	63	92	1
		64	64	93	1
		65	65	94	1
		66	66	95	1
		67	67	B1	2
		68	68	B2	2
		69	69	B4	2
		70	70	B5	2
		71	71	H1	4
		72	72	H2	4
		73	73	H3	4
		74	74	H4	4
		75	75	H5	4
		76	76	H6	4
		77	77	H7	4
		78	78	H8	4
		79	79	H9	4
		80	80	H10	4
		81	81	H11	4
		82	82	H12	4
		83	83	H13	4
		84	84	H14	4
		85	85	H15	4
		86	86	H16	4
		87	87	H17	4
		88	88	H18	4
		89	89	H19	4
		90	90	H20	4
		91	91	H21	4
		92	92	H22	4
		93	93	H23	4
		94	94	H24	4
		95	95	TC1	3
TC	1	TC1	TC1	TC2	3
TC	2	TC2	TC2	TC3	3
TC	3	TC3	TC3	TC4	3
TC	4	TC4	TC4	TC5	3
TC	5	TC5	TC5	TC6	3
TC	6	TC6	TC6	TC7	3
TC	7	TC7	TC7	TC8	3
TC	8	TC8	TC8	TC9	3
TC	9	TC9	TC9	TC10	3
TC	10	TC10	TC10	TC11	3
TC	11	TC11	TC11	TC12	3
TC	12	TC12	TC12	TC13	3
TC	13	TC13	TC13	TC14	3
TC	14	TC14	TC14	TC15	3
TC	15	TC15	TC15	TC16	3
TC	16	TC16	TC16	TC17	3
TC	17	TC17	TC17	TC18	3
TC	18	TC18	TC18	TC19	3
TC	19	TC19	TC19	TC20	3
TC	20	TC20	TC20	TC21	3
TC	21	TC21	TC21	TC22	3
TC	22	TC22	TC22	Kitchen	5
